S/No,Factor1,Factor2,CA1,CA2-1,CA2-2,CA2 Total,CA3-1,CA3-2,CA3-3,CA3 Total,CA4,CA Total,Exam Q1,Exam Q2,Exam Q3,Exam Q4,Exam Total,Final Total
1,2,E,100,30,5,35,6,28,17,57,78,78.83,10,14,18,12,54,63.93
2,3,A,100,24,2,26,6,28,5,45,70,65.89,8,12,13,5,38,49.15
3,2,C,100,36,10,46,9,30,13,61,60,81.74,15,18,18,18,69,74.1
4,1,B,100,30,4,34,4,6,2,16,62,58.86,7,9,6,6,28,40.34
5,3,C,100,33,8,41,6,22,14,48,65,74.67,7,13,18,11,49,59.27
6,1,E,100,34,9,43,7,30,17,61,60,79.94,12,9,12,5,38,54.78
7,2,A,100,32,6,38,5,24,10,44,60,69.66,10,13,16,5,44,54.26
8,1,C,100,40,10,50,7,30,20,64,85,92.93,22,21,25,22,90,91.17
9,1,C,100,39,8,47,10,29,20,69,82,92.37,23,20,22,22,87,89.15
10,1,C,97,40,8,48,9,30,15,63,80,89.5,15,17,22,13,67,76
11,1,C,100,32,10,42,8,26,19,61,78,84.74,14,24,24,19,81,82.5
12,1,C,100,38,10,48,10,30,20,70,70,89.8,23,17,23,22,85,86.92
13,1,C,100,36,9,45,10,30,17,67,75,88.21,10,20,16,12,58,70.09
14,1,C,100,40,10,50,10,30,16,66,80,92.29,14,20,24,16,74,81.31
15,2,D,100,32,9,41,9,30,17,65,70,83.46,23,18,18,16,75,78.38
16,1,A,100,32,6,38,6,20,8,40,60,67.94,10,10,12,0,32,46.38
17,2,C,100,32,7,39,5,30,15,55,72,78.57,15,18,16,12,61,68.03
18,1,A,79,24,3,27,3,7,0,13,65,49.17,0,0,0,0,0,0
19,1,A,79,30,5,35,7,14,9,37,80,68.76,10,10,13,3,36,49.1
20,1,A,100,33,10,43,8,29,17,62,78,85.77,19,19,19,14,71,76.91
21,2,A,100,39,10,49,10,30,20,70,82,94,23,23,18,17,81,86.2
22,2,A,100,31,5,36,7,18,13,45,82,75.49,14,9,15,4,42,55.39
23,2,C,100,26,6,32,8,30,17,63,72,77.8,15,18,18,18,69,72.52
24,2,A,100,26,4,30,6,14,14,40,72,66.74,11,12,10,10,43,52.5
